Kona Software Lab,"Java,Spring,C++,JavaScript,Android,Kotlin,AI,Blockchain","<a href=""https://konasl.com"">Website</a>","Police Plaza Concord, Tower-A, Plot-2, Road-144, Dhaka"
"Kovair Software, Inc.","Java,JEE,Spring,Angular JS","<a href=""https://www.kovair.com/"">Website</a>",Dhaka
LeadSoft,"","<a href=""http://leads.com.bd/"">Website</a>","Rupayan trade Centre, 17th Floor, 114 Kazi Nazrul Islam Avenue, Bangla Motors, Dhaka 1000. (At Bangla Motor Roundabout)."
LIILab,"Android,UI/UX,Python,Java,Kotlin,Django,React,Wordpress","<a href=""http://liilab.com"">Website</a>","House No. 2, 3rd Floor, Dorgah Gate, Dorgah Moholla, Sylhet, Bangladesh"
Markopolo AI,"AI,Machine Learning,Deep Learning","<a href=""https://www.markopolo.ai/"">Website</a>","79 Gulshan Ave, Dhaka 1212"
Magnito Digital,"Mobile app development,Web Design &amp; Development,Digital Marketing,Analytics","<a href=""http://magnitodigital.com/"">Website</a>
<a href=""https://www.facebook.com/magnitodigital"">Facebook</a>
<a href=""https://www.linkedin.com/company/magnito-digital/"">LinkedIn</a>","3rd Floor, House-7, Road-23/B, Gulshan-1, Dhaka, Bangladesh"
Mazegeek Technologies BD Ltd.,"PHP,Laravel,.Net,Android,iOS,Javascript,Node.js,Vue.js,Angular,React,Python,Ruby on Rails,AWS,firebase,Docker","<a href=""https://www.mazegeek.com/"">Website</a>","House:105, Road:13/A, Block: C, Banani, Dhaka-1213"
Medina Tech Ltd.,"Python,Node.js,Django,PHP,React,Next.js,Vue,AI,Machine Learning,Unity,AR,Android,IOS,React Native,AWS","<a href=""https://www.medinatech.co//"">Website</a>
<a href=""https://www.facebook.com/medinatech.co/"">Facebook</a>
<a href=""https://www.linkedin.com/company/medina-tech/"">LinkedIn</a>","<em>Bangladesh Office:</em> 7th Floor, Wasi Tower, ECB Chattar, Matikata Road, Dhaka Cantonment, Dhaka-1206<br>
<em>USA Office:</em> 54w 40th St, We Work Space-Medina Tech Limited, New York, NY 10018, USA"
Metafour Asia,"Java,Spring","<a href=""http://www.metafour.com"">Website</a>","Takia Center (7th Floor), 39 Sonargaon Janapath, Sector 7, Uttara, Dhaka 1230"
Metatude Asia Ltd,"Java,JavaScript,Angular,.NET,AWS","<a href=""https://www.fellowdigitals.com/metatude"">Website</a> <a href=""https://www.linkedin.com/company/metatude-asia-ltd/"">LinkedIn</a>","Mark Mansion (Level 4 &amp; 5), 36 Sonargaon Janapath, Sector 9, Uttara, Dhaka – 1230"
Mevrik Ltd.,"Python,Django,FastAPI,PHP,Laravel,JavaScript,React,Tailwind CSS,AWS,Docker,Kubernetes,LLM,Redis,Kafka,Clickhouse,MySQL,PostgreSQL,MongoDB,Elasticsearch,Celery,Nginx,Gunicorn,GitHub","<a href=""https://www.mevrik.com/"">Website</a> <a href=""https://www.linkedin.com/company/mevrik/"">LinkedIn</a> <a href=""https://twitter.com/mevrikdcx"">Twitter</a> <a href=""https://www.facebook.com/mevrikdcx"">Facebook</a> <a href=""https://www.facebook.com/lifeatmevrik"">Life at Mevrik Dhaka</a> <a href=""https://www.instagram.com/lifeatmevrik"">Instagram</a> <a href=""https://www.youtube.com/@mevrikdcx"">YouTube</a> <a href=""https://www.crunchbase.com/organization/mevrik"">Crunchbase</a>","<em>Bangladesh Office:</em> House 337, Road 5, Avenue 3, Mirpur DOHS, Dhaka 1216, Bangladesh<br>
<em>UK Office:</em> 71-75 Shelton Street, Covent Garden, London, England, WC2H 9JQ"
Millennium Information Solution Ltd.,"Java,JEE,Spring,RESTful APIs","<a href=""https://www.mislbd.com/"">Website</a>","49 Kawran Bazar Rd, Dhaka 1215, Bangladesh"
Misfit Technologies,"Python,Django,Ruby,Ruby on Rails,JavaScript,React,PHP,Magento,WordPress,Android,Artificial Intelligence,Machine Learning","<a href=""https://misfit.tech/"">Website</a>","House-47 (Anthemion-BC1), Road-23, Banani, Dhaka-1213"
